x,y
0.0,0.0
0.1,0.0
0.2,0.0
0.30000000000000004,0.0
0.4,0.0
0.5,0.0
0.6000000000000001,0.0
0.7000000000000001,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2000000000000002,0.0
1.3,0.0
1.4000000000000001,0.0
1.5,0.0
1.6,0.0
1.7000000000000002,0.0
1.8,0.0
1.9000000000000001,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3000000000000003,0.0
2.4000000000000004,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8000000000000003,0.0
2.9000000000000004,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3000000000000007,0.0
3.4000000000000004,0.0
3.5,0.0
3.6,0.0
3.6999999999999997,0.0
3.8000000000000003,0.0
3.9000000000000004,0.0
4.0,0.0
4.1000000000000005,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6000000000000005,0.0
4.7,0.0
4.800000000000001,0.0
4.9,0.0
5.0,0.0
5.1000000000000005,0.0
5.2,0.0
5.300000000000001,0.0
5.4,0.0
5.5,0.0
5.6000000000000005,0.0
5.7,0.0
5.800000000000001,0.0
5.9,0.0
6.0,0.0
6.1000000000000005,0.0
6.2,0.0
6.300000000000001,0.0
6.4,0.0
6.5,0.0
6.600000000000001,0.0
6.700000000000001,0.0
6.800000000000001,0.0
6.9,0.0
7.0,0.0
7.1000000000000005,0.0
7.2,0.0
7.3,0.0
7.3999999999999995,0.0
7.499999999999999,0.0
7.6000000000000005,0.0
7.7,0.0
7.800000000000001,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.200000000000001,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.700000000000001,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.200000000000001,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.600000000000001,0.0
9.700000000000001,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.100000000000001,0.0
10.200000000000001,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.600000000000001,0.0
10.700000000000001,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.100000000000001,0.0
11.200000000000001,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.600000000000001,0.0
11.700000000000001,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.100000000000001,0.0
12.200000000000001,0.0
12.3,0.0
12.4,0.0
12.5,0.0
12.600000000000001,0.0
12.700000000000001,0.0
12.8,0.0
12.9,0.0
13.0,0.0
13.0,0.10000000000000142
13.0,0.20000000000000107
13.0,0.3000000000000007
13.0,0.40000000000000036
13.0,0.5
13.0,0.6000000000000014
13.0,0.7000000000000011
13.0,0.8000000000000007
13.0,0.9000000000000004
13.0,1.0
13.0,1.1000000000000014
13.0,1.200000000000001
13.0,1.3000000000000007
13.0,1.4000000000000004
13.0,1.5
13.0,1.6000000000000014
13.0,1.700000000000001
13.0,1.8000000000000007
13.0,1.9000000000000004
13.0,2.0
13.0,2.1000000000000014
13.0,2.200000000000001
13.0,2.3000000000000007
13.0,2.4000000000000004
13.0,2.5
13.0,2.6000000000000014
13.0,2.700000000000001
13.0,2.8000000000000007
13.0,2.9000000000000004
13.0,3.0
13.0,3.1000000000000014
13.0,3.1999999999999993
13.0,3.3000000000000007
13.0,3.400000000000002
13.0,3.5
13.0,3.6000000000000014
13.0,3.6999999999999993
13.0,3.8000000000000007
13.0,3.900000000000002
13.0,4.0
13.0,4.100000000000001
13.0,4.199999999999999
13.0,4.300000000000001
13.0,4.400000000000002
13.0,4.5
12.899999999999999,4.5
12.8,4.5
12.7,4.5
12.599999999999998,4.5
12.5,4.5
12.399999999999999,4.5
12.3,4.5
12.2,4.5
12.099999999999998,4.5
12.0,4.5
11.899999999999999,4.5
11.8,4.5
11.7,4.5
11.599999999999998,4.5
11.5,4.5
11.399999999999999,4.5
11.299999999999997,4.5
11.200000000000001,4.5
11.099999999999998,4.5
11.000000000000002,4.5
10.899999999999999,4.5
10.799999999999997,4.5
10.7,4.5
10.599999999999998,4.5
10.5,4.5
10.399999999999999,4.5
10.299999999999997,4.5
10.2,4.5
10.099999999999998,4.5
10.0,4.5
9.899999999999999,4.5
9.799999999999997,4.5
9.7,4.5
9.599999999999998,4.5
9.5,4.5
9.399999999999999,4.5
9.299999999999997,4.5
9.2,4.5
9.099999999999998,4.5
9.0,4.5
8.899999999999999,4.5
8.799999999999995,4.5
8.7,4.5
8.599999999999996,4.5
8.5,4.5
8.399999999999997,4.5
8.299999999999999,4.5
8.199999999999998,4.5
8.1,4.5
7.999999999999999,4.5
7.8999999999999995,4.5
7.799999999999997,4.5
7.7,4.5
7.599999999999997,4.5
7.500000000000001,4.5
7.399999999999998,4.5
7.299999999999997,4.5
7.199999999999998,4.5
7.099999999999998,4.5
6.999999999999999,4.5
6.899999999999999,4.5
6.799999999999997,4.5
6.699999999999999,4.5
6.599999999999998,4.5
6.5,4.5
6.399999999999999,4.5
6.299999999999997,4.5
6.199999999999999,4.5
6.099999999999998,4.5
6.0,4.5
5.899999999999999,4.5
5.799999999999998,4.5
5.699999999999999,4.5
5.599999999999999,4.5
5.5,4.5
5.3999999999999995,4.5
5.299999999999998,4.5
5.2,4.5
5.099999999999999,4.5
5.000000000000001,4.5
4.8999999999999995,4.5
4.799999999999996,4.5
4.7,4.5
4.599999999999997,4.5
4.500000000000001,4.5
4.399999999999998,4.5
4.299999999999996,4.5
4.199999999999998,4.5
4.099999999999997,4.5
3.9999999999999996,4.5
3.8999999999999977,4.5
3.799999999999997,4.5
3.6999999999999984,4.5
3.599999999999998,4.5
3.499999999999999,4.5
3.3999999999999986,4.5
3.299999999999997,4.5
3.199999999999999,4.5
3.099999999999998,4.5
2.9999999999999996,4.5
2.8999999999999986,4.5
2.7999999999999976,4.5
2.6999999999999993,4.5
2.5999999999999983,4.5
2.5,4.5
2.399999999999999,4.5
2.299999999999998,4.5
2.1999999999999997,4.5
2.0999999999999988,4.5
2.0000000000000004,4.5
1.8999999999999992,4.5
1.7999999999999976,4.5
1.7,4.5
1.5999999999999983,4.5
1.5000000000000007,4.5
1.399999999999999,4.5
1.2999999999999967,4.5
1.1999999999999997,4.5
1.0999999999999974,4.5
1.0000000000000004,4.5
0.899999999999998,4.5
0.7999999999999967,4.5
0.6999999999999987,4.5
0.5999999999999974,4.5
0.49999999999999944,4.5
0.39999999999999813,4.5
0.2999999999999968,4.5
0.19999999999999885,4.5
0.09999999999999754,4.5
-4.440892098500626e-16,4.5
-0.10000000000000164,4.5
-0.20000000000000284,4.5
-0.30000000000000093,4.5
-0.40000000000000213,4.5
-0.5000000000000002,4.5
-0.6000000000000014,4.5
-0.7000000000000026,4.5
-0.8000000000000007,4.5
-0.9000000000000019,4.5
-1.0,4.5
-1.0,4.600000000000001
-1.0,4.700000000000003
-1.0,4.800000000000001
-1.0,4.900000000000002
-1.0,5.0
-1.0,5.100000000000001
-1.0,5.200000000000003
-1.0,5.300000000000004
-1.0,5.399999999999999
-1.0,5.5
-1.0,5.600000000000001
-1.0,5.700000000000003
-1.0,5.800000000000004
-1.0,5.899999999999999
-1.0,6.0
-1.0,6.100000000000001
-1.0,6.200000000000003
-1.0,6.300000000000004
-1.0,6.399999999999999
-1.0,6.5
-1.0,6.600000000000001
-1.0,6.700000000000003
-1.0,6.800000000000004
-1.0,6.899999999999999
-1.0,7.0
-1.0,7.100000000000001
-1.0,7.200000000000003
-1.0,7.300000000000004
-1.0,7.399999999999999
-1.0,7.5
-1.0,7.600000000000001
-1.0,7.700000000000003
-1.0,7.800000000000004
-1.0,7.899999999999999
-1.0,8.0
-1.0,8.100000000000001
-1.0,8.200000000000003
-1.0,8.300000000000004
-1.0,8.399999999999999
-1.0,8.5
-1.0,8.600000000000001
-1.0,8.700000000000003
-1.0,8.800000000000004
-1.0,8.899999999999999
-1.0,9.0
-0.8999999999999986,9.0
-0.7999999999999972,9.0
-0.6999999999999957,9.0
-0.6000000000000014,9.0
-0.5,9.0
-0.3999999999999986,9.0
-0.29999999999999716,9.0
-0.19999999999999574,9.0
-0.10000000000000142,9.0
-1.1102230246251565e-16,9.0
0.10000000000000131,9.0
0.20000000000000295,9.0
0.30000000000000426,9.0
0.3999999999999986,9.0
0.4999999999999999,9.0
0.6000000000000015,9.0
0.7000000000000028,9.0
0.8000000000000042,9.0
0.8999999999999988,9.0
0.9999999999999998,9.0
1.1000000000000014,9.0
1.2000000000000028,9.0
1.3000000000000043,9.0
1.4000000000000057,9.0
1.5000000000000002,9.0
1.6000000000000014,9.0
1.7000000000000028,9.0
1.8000000000000043,9.0
1.9000000000000055,9.0
2.0,9.0
2.1000000000000014,9.0
2.200000000000003,9.0
2.3000000000000043,9.0
2.4000000000000057,9.0
2.5,9.0
2.600000000000001,9.0
2.700000000000003,9.0
2.8000000000000043,9.0
2.9000000000000057,9.0
2.9999999999999996,9.0
3.1000000000000014,9.0
3.200000000000003,9.0
3.3000000000000043,9.0
3.4000000000000057,9.0
3.5,9.0
3.600000000000002,9.0
3.7000000000000024,9.0
3.8000000000000043,9.0
3.9000000000000057,9.0
4.0,9.0
4.100000000000001,9.0
4.200000000000003,9.0
4.300000000000004,9.0
4.400000000000006,9.0
4.5,9.0
4.600000000000001,9.0
4.700000000000003,9.0
4.800000000000004,9.0
4.900000000000006,9.0
5.0,9.0
5.100000000000001,9.0
5.200000000000003,9.0
5.300000000000004,9.0
5.400000000000006,9.0
5.5,9.0
5.600000000000001,9.0
5.700000000000003,9.0
5.800000000000004,9.0
5.900000000000006,9.0
6.0,9.0
6.100000000000001,9.0
6.200000000000002,9.0
6.300000000000003,9.0
6.400000000000007,9.0
6.5,9.0
6.6000000000000005,9.0
6.700000000000002,9.0
6.800000000000005,9.0
6.900000000000007,9.0
6.999999999999999,9.0
7.1000000000000005,9.0
7.200000000000004,9.0
7.300000000000005,9.0
7.400000000000006,9.0
7.499999999999999,9.0
7.600000000000002,9.0
7.700000000000003,9.0
7.800000000000005,9.0
7.900000000000006,9.0
8.0,9.0
8.100000000000001,9.0
8.200000000000003,9.0
8.300000000000004,9.0
8.400000000000006,9.0
8.5,9.0
8.600000000000001,9.0
8.700000000000003,9.0
8.800000000000004,9.0
8.900000000000006,9.0
9.0,9.0
9.100000000000001,9.0
9.200000000000003,9.0
9.300000000000004,9.0
9.400000000000006,9.0
9.5,9.0
9.600000000000001,9.0
9.700000000000003,9.0
9.800000000000004,9.0
9.900000000000006,9.0
10.0,9.0
10.100000000000001,9.0
10.200000000000003,9.0
10.300000000000004,9.0
10.400000000000006,9.0
10.5,9.0
10.600000000000001,9.0
10.700000000000003,9.0
10.800000000000004,9.0
10.900000000000006,9.0
11.0,9.0
11.100000000000001,9.0
11.200000000000003,9.0
11.300000000000004,9.0
11.400000000000006,9.0
11.5,9.0
11.600000000000001,9.0
11.700000000000003,9.0
11.800000000000004,9.0
11.900000000000006,9.0
12.0,9.0
12.100000000000001,9.0
12.200000000000003,9.0
12.300000000000004,9.0
12.400000000000006,9.0
12.5,9.0
12.600000000000001,9.0
12.700000000000003,9.0
12.800000000000004,9.0
12.900000000000006,9.0
13.0,9.0
